engine_id,true_rul,is_anomaly,membership_healthy,membership_anomaly,membership_strength,uncertainty,priority,hard_label
2,236,0,0.6777416,0.32225838,0.6777416,0.3222584,MONITOR,1
2,235,0,0.6768381,0.32316187,0.6768381,0.3231619,MONITOR,1
2,234,0,0.67719716,0.32280284,0.67719716,0.32280284,MONITOR,1
2,233,0,0.67495066,0.32504934,0.67495066,0.32504934,MONITOR,1
2,232,0,0.67515177,0.32484826,0.67515177,0.32484823,MONITOR,1
2,231,0,0.67312056,0.32687944,0.67312056,0.32687944,MONITOR,1
2,230,0,0.67092127,0.32907876,0.67092127,0.32907873,MONITOR,1
2,229,0,0.670947,0.32905298,0.670947,0.32905298,MONITOR,1
2,228,0,0.670227,0.32977304,0.670227,0.329773,MONITOR,1
2,227,0,0.6710119,0.32898808,0.6710119,0.32898808,MONITOR,1
2,226,0,0.6727362,0.3272637,0.6727362,0.32726377,MONITOR,1
2,225,0,0.6739852,0.32601488,0.6739852,0.32601482,MONITOR,1
2,224,0,0.6742439,0.32575607,0.6742439,0.32575607,MONITOR,1
2,223,0,0.67435646,0.32564357,0.67435646,0.32564354,MONITOR,1
2,222,0,0.67462015,0.32537985,0.67462015,0.32537985,MONITOR,1
2,221,0,0.67658776,0.32341227,0.67658776,0.32341224,MONITOR,1
2,220,0,0.676483,0.32351705,0.676483,0.32351702,MONITOR,1
2,219,0,0.6747898,0.32521018,0.6747898,0.3252102,MONITOR,1
2,218,0,0.677679,0.32232106,0.677679,0.322321,MONITOR,1
2,217,0,0.68227565,0.31772435,0.68227565,0.31772435,MONITOR,1
2,216,0,0.68368345,0.31631657,0.68368345,0.31631655,MONITOR,1
2,215,0,0.6884958,0.31150416,0.6884958,0.3115042,MONITOR,1
2,214,0,0.6868505,0.31314954,0.6868505,0.3131495,MONITOR,1
2,213,0,0.68390954,0.31609043,0.68390954,0.31609046,MONITOR,1
2,212,0,0.68382764,0.31617236,0.68382764,0.31617236,MONITOR,1
2,211,0,0.67919004,0.32080996,0.67919004,0.32080996,MONITOR,1
2,210,0,0.6801893,0.31981066,0.6801893,0.3198107,MONITOR,1
2,209,0,0.67990786,0.32009214,0.67990786,0.32009214,MONITOR,1
2,208,0,0.6787912,0.32120878,0.6787912,0.32120878,MONITOR,1
2,207,0,0.67945915,0.32054085,0.67945915,0.32054085,MONITOR,1
2,206,0,0.6761154,0.32388458,0.6761154,0.3238846,MONITOR,1
2,205,0,0.6726223,0.32737765,0.6726223,0.32737768,MONITOR,1
2,204,0,0.6725133,0.32748672,0.6725133,0.3274867,MONITOR,1
2,203,0,0.6709637,0.32903627,0.6709637,0.3290363,MONITOR,1
2,202,0,0.67246884,0.32753116,0.67246884,0.32753116,MONITOR,1
2,201,0,0.67281175,0.32718822,0.67281175,0.32718825,MONITOR,1
2,200,0,0.67349243,0.32650757,0.67349243,0.32650757,MONITOR,1
2,199,0,0.67572147,0.3242785,0.67572147,0.32427853,MONITOR,1
2,198,0,0.6748163,0.32518366,0.6748163,0.3251837,MONITOR,1
2,197,0,0.67508644,0.32491356,0.67508644,0.32491356,MONITOR,1
2,196,0,0.6779228,0.32207724,0.6779228,0.3220772,MONITOR,1
2,195,0,0.678199,0.32180107,0.678199,0.321801,MONITOR,1
2,194,0,0.68227786,0.31772214,0.68227786,0.31772214,MONITOR,1
2,193,0,0.6841765,0.3158235,0.6841765,0.3158235,MONITOR,1
2,192,0,0.68374735,0.31625265,0.68374735,0.31625265,MONITOR,1
2,191,0,0.6855057,0.31449428,0.6855057,0.3144943,MONITOR,1
2,190,0,0.68762,0.31238,0.68762,0.31238002,MONITOR,1
2,189,0,0.6900681,0.30993184,0.6900681,0.30993187,MONITOR,1
2,188,0,0.6872317,0.31276828,0.6872317,0.31276828,MONITOR,1
2,187,0,0.6880339,0.31196612,0.6880339,0.31196612,MONITOR,1
2,186,0,0.691884,0.30811602,0.691884,0.30811602,MONITOR,1
2,185,0,0.6909163,0.30908364,0.6909163,0.3090837,MONITOR,1
2,184,0,0.696693,0.303307,0.696693,0.303307,MONITOR,1
2,183,0,0.6936699,0.30633008,0.6936699,0.30633008,MONITOR,1
2,182,0,0.69318265,0.30681732,0.69318265,0.30681735,MONITOR,1
2,181,0,0.694208,0.30579197,0.694208,0.30579197,MONITOR,1
2,180,0,0.69492567,0.30507427,0.69492567,0.30507433,MONITOR,1
2,179,0,0.6928044,0.30719554,0.6928044,0.3071956,MONITOR,1
2,178,0,0.69351393,0.3064861,0.69351393,0.30648607,MONITOR,1
2,177,0,0.6951674,0.3048326,0.6951674,0.30483258,MONITOR,1
2,176,0,0.69361174,0.30638826,0.69361174,0.30638826,MONITOR,1
2,175,0,0.6902214,0.30977854,0.6902214,0.30977857,MONITOR,1
2,174,0,0.69298244,0.30701753,0.69298244,0.30701756,MONITOR,1
2,173,0,0.6915983,0.3084017,0.6915983,0.3084017,MONITOR,1
2,172,0,0.6886444,0.3113556,0.6886444,0.3113556,MONITOR,1
2,171,0,0.689158,0.31084198,0.689158,0.31084198,MONITOR,1
2,170,0,0.6860048,0.31399515,0.6860048,0.31399518,MONITOR,1
2,169,0,0.68532485,0.31467512,0.68532485,0.31467515,MONITOR,1
2,168,0,0.6858425,0.31415755,0.6858425,0.3141575,MONITOR,1
